40805   | 207.201.218.210  | US | JMF-WAVEFLY	 US			
33588   | 137.26.100.74    | US | BRESNAN-33588	 US			
40805   | 207.201.218.211  | US | JMF-WAVEFLY	 US			
33588   | 137.26.100.77    | US | BRESNAN-33588	 US			
36352   | 107.174.240.221  | US | AS-COLOCROSSING	 US			
12876   | 51.15.135.124    | FR | Online SAS	 FR			
NA      | 128.204.123.34   | RU | NA				
15169   | 34.123.204.128   | US | GOOGLE	 US			
8473    | 109.228.150.101  | SE | BAHNHOF www.bahnhof.net	 SE			
36982   | 137.158.243.35   | ZA | UCT	 ZA			
15169   | 35.243.158.137   | US | GOOGLE	 US			
4134    | 14.212.228.35    | CN | CHINANET-BACKBONE No.31	Jin-rong Street	 CN		
396982  | 35.228.212.14    | US | GOOGLE-PRIVATE-CLOUD	 US			
2514    | 140.227.127.123  | JP | INFOSPHERE NTT PC Communications	 Inc.	 JP		
NA      | 143.9.232.35     | US | NA				
15169   | 35.232.9.143     | US | GOOGLE	 US			
NA      | 150.56.74.34     | JP | NA				
396982  | 34.74.56.150     | US | GOOGLE-PRIVATE-CLOUD	 US			
NA      | 167.152.96.34    | US | NA				
396982  | 34.96.152.167    | US | GOOGLE-PRIVATE-CLOUD	 US			
28118   | 186.120.121.34   | DO | ALTICE DOMINICANA S.A.	 DO			
15169   | 34.121.120.186   | US | GOOGLE	 US			
NA      | 19.103.64.34     | US | NA				
139070  | 34.64.103.19     | US | GOOGLE-AS-AP Google Asia Pacific Pte. Ltd.	 SG			
8452    | 197.39.95.34     | EG | TE-AS TE-AS	 EG			
396982  | 34.95.39.197     | US | GOOGLE-PRIVATE-CLOUD	 US			
7545    | 202.161.94.34    | AU | TPG-INTERNET-AP TPG Telecom Limited	 AU			
396982  | 34.94.161.202    | US | GOOGLE-PRIVATE-CLOUD	 US			
6739    | 217.216.192.35   | ES | ONO-AS Cableuropa - ONO	 ES			
15169   | 35.192.216.217   | US | GOOGLE	 US			
17676   | 221.28.27.77     | JP | GIGAINFRA Softbank BB Corp.	 JP			
12334   | 77.27.28.221     | ES | Galicia - Spain	 ES			
NA      | 249.97.90.34     |    | NA				
396982  | 34.90.97.249     | US | GOOGLE-PRIVATE-CLOUD	 US			
20473   | 45.32.203.88     | US | AS-CHOOPA	 US			
25255   | 46.220.71.34     | AT | H3G-AUSTRIA-AS TELE2 AUSTRIA 	 AT			
15169   | 34.71.220.46     | US | GOOGLE	 US			
15456   | 62.116.182.6     | DE | INTERNETX-AS	 DE			
9105    | 85.210.224.35    | GB | TISCALI-UK TalkTalk Communications Limited	 GB			
15169   | 35.224.210.85    | US | GOOGLE	 US			
9142    | 86.113.237.35    | GB | Commercial ISP	 GB			
15169   | 35.237.113.86    | US | GOOGLE	 US			
13037   | 217.155.17.137   | GB | ZEN-AS Zen Internet - UK	 GB			
3209    | 91.64.146.155    | DE | VODANET International IP-Backbone of Vodafone	 DE			
25820   | 93.179.125.154   | CA | IT7NET	 CA			
7922    | 98.252.190.125   | US | COMCAST-7922	 US			
20473   | 66.42.127.211    | US | AS-CHOOPA	 US			
20473   | 209.250.239.195  | US | AS-CHOOPA	 US			
33915   | 94.212.121.53    | NL | TNF-AS	 NL			
15169   | 35.201.192.39    | US | GOOGLE	 US			
15169   | 35.236.151.231   | US | GOOGLE	 US			
15169   | 34.107.107.229   | US | GOOGLE	 US			
5650    | 47.184.179.88    | US | FRONTIER-FRTR	 US			
15525   | 62.28.133.124    | PT | MEO-EMPRESAS	 PT			
15525   | 62.28.133.123    | PT | MEO-EMPRESAS	 PT			
24940   | 136.243.135.27   | DE | HETZNER-AS	 DE			
24940   | 136.243.135.26   | DE | HETZNER-AS	 DE			
6730    | 84.226.146.161   | CH | SUNRISE	 CH			
7992    | 173.238.211.221  | CA | COGECOWAVE	 CA			
24940   | 23.88.69.22      | DE | HETZNER-AS	 DE			
24940   | 23.88.69.23      | DE | HETZNER-AS	 DE			
24940   | 135.181.54.227   | DE | HETZNER-AS	 DE			
24940   | 135.181.54.228   | DE | HETZNER-AS	 DE			
7922    | 50.241.102.138   | US | COMCAST-7922	 US			
7922    | 50.241.102.141   | US | COMCAST-7922	 US			
51167   | 194.163.189.216  | DE | CONTABO	 DE			
3209    | 178.2.17.78      | DE | VODANET International IP-Backbone of Vodafone	 DE			
9318    | 1.250.170.216    | KR | SKB-AS SK Broadband Co Ltd	 KR			
5089    | 86.25.175.56     | GB | NTL	 GB			
202053  | 94.237.46.188    | FI | UPCLOUD	 FI			
NA      | 255.255.255.255  |    | NA				
30083   | 209.126.123.11   | US | AS-30083-GO-DADDY-COM-LLC	 US			
13335   | 172.67.132.148   | US | CLOUDFLARENET	 US			
13335   | 104.21.4.230     | US | CLOUDFLARENET	 US			
20001   | 76.95.53.189     | US | TWC-20001-PACWEST	 US			
31012   | 46.234.92.215    | HR | DCM-AS Vipnet d.o.o.	 HR			
14061   | 104.131.13.190   | US | DIGITALOCEAN-ASN	 US			
328364  | 102.130.124.12   | ZA | Host-Africa-AS	 ZA			
42739   | 188.112.28.180   | PL | FONE-ASN	 PL			
16509   | 18.178.23.136    | US | AMAZON-02	 US			
62563   | 198.57.27.21     | CA | AS-GLOBALTELEHOST	 CA			
29802   | 172.93.52.241    | US | HVC-AS	 US			
5089    | 86.2.252.5       | GB | NTL	 GB			
8075    | 13.66.154.159    | US | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
14061   | 206.189.2.53     | US | DIGITALOCEAN-ASN	 US			
16276   | 51.79.181.116    | CA | OVH	 FR			
16509   | 54.95.38.235     | US | AMAZON-02	 US			
393552  | 209.131.236.203  | US | COL-LPC	 US			
701     | 173.70.29.247    | US | UUNET	 US			
9269    | 210.6.62.160     | HK | HKBN-AS-AP Hong Kong Broadband Network Ltd.	 HK			
14618   | 54.173.50.17     | US | AMAZON-AES	 US			
16509   | 54.238.92.29     | US | AMAZON-02	 US			
16509   | 54.150.70.247    | US | AMAZON-02	 US			
16509   | 18.158.94.203    | US | AMAZON-02	 US			
141995  | 194.233.78.88    | SG | CAPL-AS-AP Contabo Asia Private Limited	 SG			
205028  | 193.110.174.41   | UA | APPS-AS	 UA			
51167   | 173.249.44.8     | DE | CONTABO	 DE			
51167   | 75.119.146.226   | DE | CONTABO	 DE			
29802   | 208.87.135.52    | US | HVC-AS	 US			
5607    | 5.71.86.203      | GB | BSKYB-BROADBAND-AS	 GB			
13037   | 217.155.58.134   | GB | ZEN-AS Zen Internet - UK	 GB			
